四季,#genre#
好消息,https://www.4gtv.tv/channel/litv-ftv16?set=1&ch=9
大爱二台,https://www.4gtv.tv/channel/4gtv-live106?set=1&ch=230
人间卫视,https://www.4gtv.tv/channel/4gtv-live008?set=1&ch=210
半岛国际新闻台,https://www.4gtv.tv/channel/litv-ftv10?set=1&ch=85
VOA美国之音,https://www.4gtv.tv/channel/litv-ftv03?set=1&ch=86
CNBC Asia 财经台,https://www.4gtv.tv/channel/4gtv-live130?set=1&ch=235
DW德国之声,https://www.4gtv.tv/channel/4gtv-live071?set=1&ch=226
国会频道1,https://www.4gtv.tv/channel/4gtv-4gtv084?set=1&ch=170
国会频道2,https://www.4gtv.tv/channel/4gtv-4gtv085?set=1&ch=171
TVBS综艺台,https://www.4gtv.tv/channel/4gtv-live087?set=1&ch=284
TVBS台剧台,https://www.4gtv.tv/channel/4gtv-live088?set=1&ch=285
经典电影台,https://www.4gtv.tv/channel/4gtv-live021?set=1&ch=201
经典卡通台,https://www.4gtv.tv/channel/4gtv-live022?set=1&ch=202
儿童卡通台,https://www.4gtv.tv/channel/4gtv-live009?set=1&ch=269
精选动漫台,https://www.4gtv.tv/channel/4gtv-live024?set=1&ch=204
戏剧免费看1台,https://www.4gtv.tv/channel/4gtv-live010?set=1&ch=270
戏剧免费看2台,https://www.4gtv.tv/channel/4gtv-live006?set=1&ch=244
电影免费看1台,https://www.4gtv.tv/channel/4gtv-live013?set=1&ch=272
电影免费看2台,https://www.4gtv.tv/channel/4gtv-live005?set=1&ch=245
超人力霸王整套看,https://www.4gtv.tv/channel/4gtv-live015?set=1&ch=278
花系列-经典剧场,https://www.4gtv.tv/channel/4gtv-live016?set=1&ch=279
影迷数位纪实台,https://www.4gtv.tv/channel/4gtv-live023?set=1&ch=212
